sync_index,object_id,keypoint_id,x_coord,y_coord,z_coord,frame_time
780,0,19,-0.285940,-0.011838,1.729546,25.064679
780,0,23,-0.148803,-0.014686,1.723460,25.064679
810,0,18,-0.463622,-0.004825,1.363679,26.028705
815,0,11,-0.306042,-0.078355,1.341445,26.189376
815,0,17,-0.304888,-0.044189,1.339727,26.189376
820,0,3,-0.377739,-0.106935,1.292148,26.350047
820,0,4,-0.343754,-0.108429,1.294997,26.350047
820,0,5,-0.310485,-0.110529,1.298106,26.350047
820,0,10,-0.341890,-0.074389,1.293197,26.350047
820,0,11,-0.307921,-0.076360,1.297580,26.350047
820,0,12,-0.474654,-0.033250,1.282594,26.350047
820,0,16,-0.340019,-0.040328,1.293408,26.350047
820,0,17,-0.306041,-0.042230,1.297409,26.350047
820,0,21,-0.371446,-0.004873,1.289567,26.350047
820,0,22,-0.338019,-0.006698,1.293788,26.350047
820,0,23,-0.303904,-0.008658,1.295859,26.350047
835,0,0,-0.432246,-0.111821,1.166228,26.832060
835,0,1,-0.398849,-0.112933,1.167116,26.832060
835,0,2,-0.364822,-0.114166,1.168069,26.832060
835,0,3,-0.331203,-0.114750,1.170386,26.832060
835,0,4,-0.297094,-0.115683,1.171748,26.832060
835,0,5,-0.263077,-0.117162,1.174876,26.832060
835,0,6,-0.431324,-0.078084,1.164941,26.832060
835,0,7,-0.397196,-0.079307,1.165265,26.832060
835,0,8,-0.364237,-0.080113,1.166705,26.832060
835,0,9,-0.330134,-0.080743,1.167941,26.832060
835,0,10,-0.296192,-0.081926,1.169940,26.832060
835,0,11,-0.261919,-0.082984,1.171612,26.832060
835,0,12,-0.429988,-0.043964,1.163125,26.832060
835,0,17,-0.260986,-0.048934,1.170972,26.832060
835,0,18,-0.429328,-0.010330,1.161834,26.832060
835,0,23,-0.259552,-0.015187,1.169145,26.832060
840,0,0,-0.426800,-0.109826,1.155656,26.992731
840,0,1,-0.393365,-0.111170,1.157156,26.992731
840,0,2,-0.359497,-0.112054,1.160026,26.992731
840,0,3,-0.325812,-0.113261,1.161636,26.992731
840,0,4,-0.291666,-0.114191,1.164920,26.992731
840,0,5,-0.257914,-0.115430,1.166140,26.992731
840,0,6,-0.425974,-0.076272,1.153221,26.992731
840,0,7,-0.391709,-0.077284,1.156829,26.992731
840,0,8,-0.358418,-0.078431,1.157962,26.992731
840,0,9,-0.324086,-0.079476,1.161155,26.992731
840,0,10,-0.290891,-0.080794,1.162989,26.992731
840,0,11,-0.256505,-0.081572,1.165147,26.992731
840,0,12,-0.424284,-0.042024,1.154082,26.992731
840,0,13,-0.390777,-0.043227,1.155736,26.992731
840,0,14,-0.357053,-0.044218,1.158120,26.992731
840,0,15,-0.323028,-0.045500,1.159936,26.992731
840,0,16,-0.289226,-0.046245,1.162625,26.992731
840,0,17,-0.255228,-0.047578,1.164251,26.992731
840,0,18,-0.423009,-0.008051,1.153594,26.992731
840,0,19,-0.389094,-0.009509,1.155707,26.992731
840,0,20,-0.355719,-0.010772,1.157624,26.992731
840,0,21,-0.321573,-0.011539,1.159952,26.992731
840,0,22,-0.287838,-0.012660,1.161437,26.992731
840,0,23,-0.253926,-0.013751,1.163621,26.992731
845,0,4,-0.294853,-0.113708,1.166470,27.153402
845,0,5,-0.261125,-0.114553,1.169477,27.153402
845,0,9,-0.327594,-0.078658,1.162686,27.153402
845,0,15,-0.326408,-0.044951,1.161943,27.153402
845,0,18,-0.426361,-0.008018,1.151661,27.153402
845,0,21,-0.325329,-0.010850,1.160506,27.153402
845,0,22,-0.291484,-0.012108,1.163545,27.153402
845,0,23,-0.257641,-0.013029,1.166454,27.153402
850,0,1,-0.401185,-0.107839,1.168147,27.314073
850,0,2,-0.367636,-0.108682,1.172373,27.314073
850,0,3,-0.333930,-0.109913,1.176352,27.314073
850,0,4,-0.300483,-0.110510,1.180001,27.314073
850,0,5,-0.266478,-0.112137,1.184352,27.314073
850,0,7,-0.399723,-0.073993,1.166868,27.314073
850,0,8,-0.366215,-0.075025,1.170818,27.314073
850,0,9,-0.332362,-0.076084,1.175520,27.314073
850,0,10,-0.298737,-0.076998,1.178778,27.314073
850,0,11,-0.264902,-0.078318,1.182689,27.314073
850,0,12,-0.431927,-0.038671,1.162678,27.314073
850,0,13,-0.398572,-0.040172,1.165738,27.314073
850,0,14,-0.364665,-0.041432,1.170205,27.314073
850,0,15,-0.331157,-0.042126,1.172961,27.314073
850,0,16,-0.297429,-0.043053,1.177978,27.314073
850,0,17,-0.263875,-0.044259,1.181909,27.314073
850,0,20,-0.363965,-0.007696,1.169005,27.314073
850,0,21,-0.329635,-0.008376,1.172910,27.314073
