sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
840,0,840,26.992731,0,6,41.710495,308.119263,0.034000,0.068000,0.000000
840,0,840,26.992731,0,7,86.715935,307.759918,0.068000,0.068000,0.000000
840,0,840,26.992731,0,8,128.371063,306.994324,0.102000,0.068000,0.000000
840,0,840,26.992731,0,9,172.499252,306.478607,0.136000,0.068000,0.000000
840,0,840,26.992731,0,10,213.405441,305.501709,0.170000,0.068000,0.000000
840,0,840,26.992731,0,11,256.375610,305.251129,0.204000,0.068000,0.000000
840,0,840,26.992731,0,12,44.839745,350.648407,0.034000,0.102000,0.000000
840,0,840,26.992731,0,13,87.664101,349.734863,0.068000,0.102000,0.000000
840,0,840,26.992731,0,14,130.572693,348.959381,0.102000,0.102000,0.000000
840,0,840,26.992731,0,15,173.550690,347.813751,0.136000,0.102000,0.000000
840,0,840,26.992731,0,16,215.904266,347.362457,0.170000,0.102000,0.000000
840,0,840,26.992731,0,17,258.008911,345.994781,0.204000,0.102000,0.000000
840,0,840,26.992731,0,18,46.721840,392.020630,0.034000,0.136000,0.000000
840,0,840,26.992731,0,19,90.253838,390.468994,0.068000,0.136000,0.000000
840,0,840,26.992731,0,20,132.411697,389.487793,0.102000,0.136000,0.000000
840,0,840,26.992731,0,21,175.814316,388.377655,0.136000,0.136000,0.000000
840,0,840,26.992731,0,22,217.598053,387.431702,0.170000,0.136000,0.000000
840,0,840,26.992731,0,23,259.500397,386.406097,0.204000,0.136000,0.000000
840,1,840,26.992731,0,0,1233.957275,436.004364,0.034000,0.034000,0.000000
840,1,840,26.992731,0,1,1276.396362,437.539551,0.068000,0.034000,0.000000
840,1,840,26.992731,0,2,1318.443359,439.300140,0.102000,0.034000,0.000000
840,1,840,26.992731,0,3,1360.414795,440.433746,0.136000,0.034000,0.000000
840,1,840,26.992731,0,4,1401.365723,442.457825,0.170000,0.034000,0.000000
840,1,840,26.992731,0,5,1442.518433,443.231506,0.204000,0.034000,0.000000
840,1,840,26.992731,0,6,1232.490601,482.041321,0.034000,0.068000,0.000000
840,1,840,26.992731,0,7,1275.404419,483.318237,0.068000,0.068000,0.000000
840,1,840,26.992731,0,8,1317.436035,484.328918,0.102000,0.068000,0.000000
840,1,840,26.992731,0,9,1359.559082,485.493896,0.136000,0.068000,0.000000
840,1,840,26.992731,0,10,1400.063721,485.996796,0.170000,0.068000,0.000000
840,1,840,26.992731,0,11,1441.590820,487.669891,0.204000,0.068000,0.000000
840,1,840,26.992731,0,12,1231.010010,528.197449,0.034000,0.102000,0.000000
840,1,840,26.992731,0,13,1273.704346,529.060059,0.068000,0.102000,0.000000
840,1,840,26.992731,0,14,1315.700806,530.275879,0.102000,0.102000,0.000000
840,1,840,26.992731,0,15,1358.130127,530.800842,0.136000,0.102000,0.000000
840,1,840,26.992731,0,16,1398.954956,532.336548,0.170000,0.102000,0.000000
840,1,840,26.992731,0,17,1440.257690,532.881348,0.204000,0.102000,0.000000
840,1,840,26.992731,0,18,1229.612915,574.177307,0.034000,0.136000,0.000000
840,1,840,26.992731,0,19,1272.583618,574.531921,0.068000,0.136000,0.000000
840,1,840,26.992731,0,20,1314.411133,574.744080,0.102000,0.136000,0.000000
840,1,840,26.992731,0,21,1356.506226,576.461609,0.136000,0.136000,0.000000
840,1,840,26.992731,0,22,1398.018921,576.937988,0.170000,0.136000,0.000000
840,1,840,26.992731,0,23,1438.757935,577.443726,0.204000,0.136000,0.000000
845,0,845,27.153402,0,4,209.543610,266.260834,0.170000,0.034000,0.000000
845,0,845,27.153402,0,5,251.418167,265.962494,0.204000,0.034000,0.000000
845,0,845,27.153402,0,9,168.502991,307.671173,0.136000,0.068000,0.000000
845,0,845,27.153402,0,15,170.093369,348.447632,0.136000,0.102000,0.000000
845,0,845,27.153402,0,18,41.593761,391.648163,0.034000,0.136000,0.000000
